LoopId,LoopStartTime,BackgroundThreads,LogCleanerThreads,NumIoThreads,NumNetworkThreads,NumPartitions,NumNodes,NumReplicaFetchers,ThreadsClient,MessageSize,TotalMessages
28,2019-07-12_04-29-26,20,1,8,6,2,1,1,25,102400,76273
29,2019-07-12_05-04-06,20,1,8,6,2,1,1,50,10240,702379
30,2019-07-12_05-38-51,20,1,8,6,2,1,1,50,102400,77047
31,2019-07-12_06-13-32,20,1,8,6,2,1,2,10,10240,333948
32,2019-07-12_06-48-08,20,1,8,6,2,1,2,10,102400,76223
33,2019-07-12_07-22-47,20,1,8,6,2,1,2,15,10240,486431
34,2019-07-12_07-57-27,20,1,8,6,2,1,2,15,102400,76605
35,2019-07-12_08-32-04,20,1,8,6,2,1,2,20,10240,609137
36,2019-07-12_09-06-46,20,1,8,6,2,1,2,20,102400,75698
37,2019-07-12_09-41-25,20,1,8,6,2,1,2,25,10240,702029
38,2019-07-12_10-16-08,20,1,8,6,2,1,2,25,102400,76198
39,2019-07-12_10-50-47,20,1,8,6,2,1,2,50,10240,736936
40,2019-07-12_11-25-32,20,1,8,6,2,1,2,50,102400,76363
41,2019-07-12_12-00-14,20,1,16,6,2,1,1,10,10240,333445
42,2019-07-12_12-34-53,20,1,16,6,2,1,1,10,102400,76039
43,2019-07-12_13-09-33,20,1,16,6,2,1,1,15,10240,484530
44,2019-07-12_13-44-15,20,1,16,6,2,1,1,15,102400,76565
45,2019-07-12_14-18-55,20,1,16,6,2,1,1,20,10240,612230
46,2019-07-12_14-53-40,20,1,16,6,2,1,1,20,102400,75715
47,2019-07-12_15-28-21,20,1,16,6,2,1,1,25,10240,702333
48,2019-07-12_16-03-06,20,1,16,6,2,1,1,25,102400,76069
49,2019-07-12_16-37-47,20,1,16,6,2,1,1,50,10240,733862
50,2019-07-12_17-12-34,20,1,16,6,2,1,1,50,102400,77540
51,2019-07-12_17-47-16,20,1,16,6,2,1,2,10,10240,333247
52,2019-07-12_18-21-56,20,1,16,6,2,1,2,10,102400,76224
53,2019-07-12_18-56-37,20,1,16,6,2,1,2,15,10240,485799
54,2019-07-12_19-31-19,20,1,16,6,2,1,2,15,102400,75511
55,2019-07-12_20-06-02,20,1,16,6,2,1,2,20,10240,613464
56,2019-07-12_20-40-46,20,1,16,6,2,1,2,20,102400,75833
57,2019-07-12_21-15-27,20,1,16,6,2,1,2,25,10240,701538
58,2019-07-12_21-50-13,20,1,16,6,2,1,2,25,102400,74148
59,2019-07-12_22-24-53,20,1,16,6,2,1,2,50,10240,709183
60,2019-07-12_22-59-40,20,1,16,6,2,1,2,50,102400,76895
61,2019-07-12_23-34-24,25,1,4,6,2,1,1,10,10240,333532
62,2019-07-13_00-09-03,25,1,4,6,2,1,1,10,102400,76376
63,2019-07-13_00-43-42,25,1,4,6,2,1,1,15,10240,482502
64,2019-07-13_01-18-22,25,1,4,6,2,1,1,15,102400,76109
65,2019-07-13_01-53-03,25,1,4,6,2,1,1,20,10240,613547
66,2019-07-13_02-27-46,25,1,4,6,2,1,1,20,102400,74096
67,2019-07-13_03-02-25,25,1,4,6,2,1,1,25,10240,701537
68,2019-07-13_03-37-08,25,1,4,6,2,1,1,25,102400,76112
69,2019-07-13_04-11-48,25,1,4,6,2,1,1,50,10240,730043
70,2019-07-13_04-46-34,25,1,4,6,2,1,1,50,102400,77135
71,2019-07-13_05-21-14,25,1,4,6,2,1,2,10,10240,333306
72,2019-07-13_05-55-51,25,1,4,6,2,1,2,10,102400,75424
73,2019-07-13_06-30-33,25,1,4,6,2,1,2,15,10240,486168
74,2019-07-13_07-05-14,25,1,4,6,2,1,2,15,102400,76679
75,2019-07-13_07-39-54,25,1,4,6,2,1,2,20,10240,612774
76,2019-07-13_08-14-37,25,1,4,6,2,1,2,20,102400,75634
77,2019-07-13_08-49-17,25,1,4,6,2,1,2,25,10240,690429
78,2019-07-13_09-24-00,25,1,4,6,2,1,2,25,102400,75019
79,2019-07-13_09-58-41,25,1,4,6,2,1,2,50,10240,706280
80,2019-07-13_10-33-26,25,1,4,6,2,1,2,50,102400,77107
81,2019-07-13_11-08-08,25,1,8,6,2,1,1,10,10240,333660
82,2019-07-13_11-42-46,25,1,8,6,2,1,1,10,102400,75984
83,2019-07-13_12-17-26,25,1,8,6,2,1,1,15,10240,485193
84,2019-07-13_12-52-06,25,1,8,6,2,1,1,15,102400,76566
85,2019-07-13_13-26-46,25,1,8,6,2,1,1,20,10240,613891
86,2019-07-13_14-01-29,25,1,8,6,2,1,1,20,102400,76488
